id,model,desc,magazine,pros,cons
1,AK-74M,The AK-74M is by all standards an average assault rifle with fairly manageable recoil but a slow fire rate.,40,"Low vertical recoil, High magazine capacity, Good damage per shot","Low rate of fire, High horizontal recoil"
2,M590A1,"The M590A1 is a jack-of-all-trades among pump-action shotguns, decent in damage and mid-ranged combat.",6,"High damage per pellet, Relatively quick pump cycle, Decent damage drop off, Utility use",Low reserve ammo
3,M4,"he M4 is a well-rounded weapon with decent handling, above-average damage, and adaquate rate of fire.",30,"Above average damage output, Good rate of fire, Versatile attachments","Subpar vertical recoil, Harsch damage drop off"
4,M249,"The M249 has a rather mediocre fire rate of 650, but it makes up for it with its high damage, controllable recoil and great accuracy.",100,"High damage per shot, High magazine capacity, Low vertical recoil","Low rate of fire, Slow reload time"
5,SR-25,"The SR-25 is a relatively subpar Marksman Rifle, it outputs a moderate single-shot damage of 61, comparable to that of the Mk 14 EBR.",20,"High damage per shot, Versatile attachments","Steep damage drop off after 40 m, Slow reload speed"
6,Commando 9,"The Commando 9 is designated as an assault rifle, despite its SMG-like damage drop-off and ADS time identical to that of the SMG class",25,"High damage output, Low recoil, Quick reload time, Quick ADS time compared to other assault rifles, Mild damage drop off",Low magazine capacity
7,M870,"One of the most powerful pump-action shotguns available, the M870 packs one hell of a punch at close range and can kill a victim outright if all pellets connect.",6,"High rate of fire, High damage per pellet, Fast pump cycle, Decent damage drop off",None
8,TCSG12,"The TCSG12, like the BOSG.12.2 and the ACS12, fires single slugs that have a long range and are capable of headshots.",10,"High damage per shot, High destruction / penetration","High vertical recoil kick per shot, Low magazine capacity"
9,MP7,"The MP7 is optimal at close range, the submachine gun boasts a blistering fire rate of 900 RPM and one of the highest damage outputs in the SMG class",30,"High rate of fire, High damage output","Moderate vertical recoil, Lacks grips"
10,SASG-12,"The SASG-12 is one of the most potent, close-ranged, semi-automatic shotguns next to the FO-12",10,"High damage per pellet, Quick ADS time, Fast rate of fire, High magazine capacity","Moderate recoil kick per shot, High damage drop off"
